"Rank","unitid","CONTACTED? (Y/N)","DATE OF CONTACT","RESPONSE? (Y/N/NO-RESPONSE)","IF NO, REASON? (OPEN RESPONSE)"
284,"123341","","","",""
285,"229267","","","",""
286,"114433","","","",""
287,"227979","","","",""
288,"191241","","","",""
289,"118930","","","",""
290,"146366","","","",""
291,"234979","","","",""
292,"196103","","","",""
293,"234845","","","",""
294,"233116","","","",""
295,"190503","","","",""
296,"123563","","","",""
297,"173461","","","",""
298,"232186","","","",""
299,"191287","","","",""
300,"162706","","","",""
301,"436827","","","",""
302,"145637","","","",""
303,"206622","","","",""
304,"200846","","","",""
305,"375841","","","",""
306,"367839","","","",""
307,"160667","","","",""
308,"180461","","","",""
309,"203881","","","",""
310,"200305","","","",""
311,"142522","","","",""
312,"154235","","","",""
313,"239105","","","",""
314,"178402","","","",""
315,"230597","","","",""
316,"235149","","","",""
317,"375683","","","",""
318,"124292","","","",""
319,"110413","","","",""
320,"154998","","","",""
321,"168740","","","",""
322,"204617","","","",""
323,"135179","","","",""
324,"233374","","","",""
325,"137847","","","",""
326,"226408","","","",""
327,"217882","","","",""
328,"133155","","","",""
329,"207388","","","",""
330,"206589","","","",""
331,"204635","","","",""
332,"154350","","","",""
333,"199120","","","",""
334,"403478","","","",""
335,"407832","","","",""
336,"197133","","","",""
337,"196079","","","",""
338,"144184","","","",""
339,"441760","","","",""
340,"123509","","","",""
341,"173203","","","",""
342,"111081","","","",""
343,"189088","","","",""
344,"178615","","","",""
345,"142115","","","",""
346,"148937","","","",""
347,"117946","","","",""
348,"232867","","","",""
349,"240417","","","",""
350,"444219","","","",""
351,"200253","","","",""
352,"223524","","","",""
353,"228343","","","",""
354,"136233","","","",""
355,"141644","","","",""
356,"186131","","","",""
357,"197869","","","",""
358,"436304","","","",""
359,"154059","","","",""
360,"232450","","","",""
361,"230764","","","",""
362,"115296","","","",""
363,"180106","","","",""
364,"148380","","","",""
365,"181303","","","",""
366,"238476","","","",""
367,"143279","","","",""
368,"186584","","","",""
369,"240620","","","",""
370,"121257","","","",""
371,"113218","","","",""
372,"117894","","","",""
373,"227854","","","",""
374,"145813","","","",""
375,"138868","","","",""
376,"122180","","","",""
377,"207281","","","",""
378,"224110","","","",""
379,"155858","","","",""
380,"127200","","","",""
381,"209922","","","",""
382,"152530","","","",""
383,"227687","","","",""
384,"151351","","","",""
385,"147767","","","",""
386,"121691","","","",""
387,"366401","","","",""
388,"166124","","","",""
389,"173300","","","",""
390,"198385","","","",""
391,"181330","","","",""
392,"104179","","","",""
393,"191515","","","",""
394,"384342","","","",""
395,"105154","","","",""
396,"186380","","","",""
397,"414911","","","",""
398,"179955","","","",""
399,"215929","","","",""
400,"450465","","","",""
401,"203942","","","",""
402,"166683","","","",""
403,"180814","","","",""
404,"182670","","","",""
405,"199184","","","",""
406,"191968","","","",""
407,"454908","","","",""
408,"113980","","","",""
409,"114266","","","",""
410,"141680","","","",""
411,"236896","","","",""
412,"173452","","","",""
413,"149310","","","",""
414,"231581","","","",""
415,"125462","","","",""
416,"210669","","","",""
417,"449816","","","",""
418,"247834","","","",""
419,"234933","","","",""
420,"452018","","","",""
421,"170976","","","",""
422,"181127","","","",""
423,"154688","","","",""
424,"174914","","","",""
425,"153162","","","",""
426,"127060","","","",""
427,"460695","","","",""
428,"122436","","","",""
429,"163976","","","",""
430,"218672","","","",""
431,"102553","","","",""
432,"111461","","","",""
433,"153922","","","",""
434,"222178","","","",""
435,"113236","","","",""
436,"165015","","","",""
437,"201441","","","",""
438,"366623","","","",""
439,"226806","","","",""
440,"223232","","","",""
441,"177986","","","",""
442,"219198","","","",""
443,"184603","","","",""
444,"483586","","","",""
445,"383996","","","",""
446,"154095","","","",""
447,"126207","","","",""
448,"126289","","","",""
449,"202222","","","",""
450,"120971","","","",""
451,"213987","","","",""
452,"174844","","","",""
453,"173063","","","",""
454,"212674","","","",""
455,"243744","","","",""
456,"229115","","","",""
457,"181765","","","",""
458,"236656","","","",""
459,"111009","","","",""
460,"235431","","","",""
461,"151102","","","",""
462,"181020","","","",""
463,"123013","","","",""
464,"127918","","","",""
465,"216764","","","",""
466,"439145","","","",""
467,"235699","","","",""
468,"226204","","","",""
469,"100858","","","",""
470,"102614","","","",""
471,"107141","","","",""
472,"222567","","","",""
473,"200059","","","",""
474,"122384","","","",""
475,"446835","","","",""
476,"152637","","","",""
477,"219259","","","",""
478,"405872","","","",""
479,"220215","","","",""
480,"233426","","","",""
481,"195809","","","",""
482,"161767","","","",""
483,"185572","","","",""
484,"154101","","","",""
485,"118912","","","",""
486,"204015","","","",""
487,"235671","","","",""
488,"200572","","","",""
489,"237039","","","",""
490,"227182","","","",""
491,"486390","","","",""
492,"225520","","","",""
493,"485768","","","",""
494,"150756","","","",""
495,"153445","","","",""
496,"150677","","","",""
497,"230047","","","",""
498,"128391","","","",""
