"Rank","UNITID","INSTNM","ADDR","State","ZIP","GENTELE","WEBADDR","CONTACTED? (Y/N)","DATE OF CONTACT","RESPONSE? (Y/N/NO-RESPONSE)","IF NO, REASON? (OPEN RESPONSE)"
43,212832,"Gwynedd Mercy University","1325 Sumneytown Pike","PA","19437-0901",2156467300,"https://www.gmercyu.edu/","","","",""
44,177339,"Evangel University","1111 N Glenstone","MO","65802-2125",4178652815,"www.evangel.edu","","","",""
45,199962,"Wingate University","220 North Camden Road","NC","28174-0159",7042338000,"https://www.wingate.edu","","","",""
46,204486,"University of Northwestern Ohio","1441 N Cable Rd","OH","45805",4192273141,"www.unoh.edu","","","",""
47,167394,"College of Our Lady of the Elms","291 Springfield St","MA","01013",4135942761,"https://www.elms.edu","","","",""
48,191621,"Hilbert College","5200 S Park Ave","NY","14075-1597",7166497900,"www.hilbert.edu","","","",""
49,149505,"Trinity Christian College","6601 W College Dr","IL","60463-0929",7085973000,"www.trnty.edu","","","",""
50,206437,"Walsh University","2020 East Maple St","OH","44720-3396",3304997090,"https://www.walsh.edu","","","",""
51,204468,"Notre Dame College","4545 College Rd","OH","44121-4293",2163811680,"www.notredamecollege.edu","","","",""
52,236896,"Walla Walla University","204 S College Ave","WA","99324-1198",5095272615,"www.wallawalla.edu","","","",""
53,213303,"Keystone College","One College Green","PA","18440-0200",5709458000,"www.keystone.edu","","","",""
54,212601,"Gannon University","109 W Sixth St","PA","16541-0001",8148717000,"www.gannon.edu","","","",""
55,227863,"University of St Thomas","3800 Montrose Blvd","TX","77006-4696",7135227911,"www.stthom.edu","","","",""
56,217934,"Columbia College","1301 Columbia College Dr","SC","29203",8037863012,"www.columbiasc.edu/","","","",""
57,193973,"Niagara University","Lewiston Road","NY","14109",7162851212,"www.niagara.edu","","","",""
58,192439,"LIU Brooklyn","1 University Plaza","NY","11201-8423",7184881011,"liu.edu/Brooklyn","","","",""
59,168254,"Western New England University","1215 Wilbraham Rd","MA","01119-2684",4137823111,"www1.wne.edu","","","",""
60,203757,"Lourdes University","6832 Convent Blvd","OH","43560-2898",4198853211,"www.lourdes.edu","","","",""
61,191931,"Iona College","715 North Ave","NY","10801-1890",9146332000,"www.iona.edu","","","",""
62,192749,"Manhattanville College","2900 Purchase St","NY","10577",9146942200,"www.mville.edu","","","",""
63,157809,"Thomas More College","333 Thomas More Parkway","KY","41017-3495",8593415800,"www.thomasmore.edu","","","",""
64,178059,"Maryville University of Saint Louis","650 Maryville University Drive","MO","63141-7299",8006279855,"www.maryville.edu","","","",""
65,193399,"College of Mount Saint Vincent","6301 Riverdale Ave","NY","10471-1093",7184053200,"www.mountsaintvincent.edu","","","",""
66,184694,"Fairleigh Dickinson University-Florham Campus","285 Madison Ave","NJ","07940",9734438500,"www.fdu.edu","","","",""
67,238193,"Alverno College","3400 S 43rd  St","WI","53234-3922",4143826000,"www.alverno.edu","","","",""
68,110361,"California Baptist University","8432 Magnolia Ave","CA","92504-3297",8772283615,"www.calbaptist.edu","","","",""
69,149514,"Trinity International University-Illinois","2065 Half Day Rd","IL","60015-1283",8479458800,"www.tiu.edu","","","",""
70,168005,"Suffolk University","8 Ashburton Place","MA","02108-2770",6175738000,"www.suffolk.edu","","","",""
71,217633,"Anderson University","316 Boulevard","SC","29621-4035",8642312000,"www.andersonuniversity.edu","","","",""
72,219383,"University of Sioux Falls","1101 W 22nd St","SD","57105-1699",6053315000,"www.usiouxfalls.edu/","","","",""
73,236230,"Pacific Lutheran University","12180 Park Ave South","WA","98447-0003",2535358145,"www.plu.edu","","","",""
74,480569,"Florida Institute of Technology-Online","150 West University Blvd","FL","32901-6975",3216748000,"www.fit.edu","","","",""
75,188340,"Vaughn College of Aeronautics and Technology","86-01 23rd Avenue","NY","11369",7184296600,"www.vaughn.edu","","","",""
76,213011,"Immaculata University","1145 King Rd","PA","19345",6106474400,"www.immaculata.edu","","","",""
77,170967,"Rochester College","800 West Avon Road","MI","48307",2482182011,"www.rc.edu","","","",""
78,184603,"Fairleigh Dickinson University-Metropolitan Campus","1000 River Rd","NJ","07666",2016922000,"www.fdu.edu","","","",""
79,220613,"Lee University","1120 N Ocoee St","TN","37311",4236148000,"www.leeuniversity.edu","","","",""
80,236577,"Seattle Pacific University","3307 3rd Ave W","WA","98119-1997",2062812000,"www.spu.edu","","","",""
81,184612,"Felician University","262 S Main St","NJ","07644",2015596000,"www.felician.edu","","","",""
82,230807,"Westminster College","1840 South 1300 East","UT","84105",8014847651,"www.westminstercollege.edu","","","",""
83,228149,"St. Mary's University","One Camino Santa Maria","TX","78228",2104363011,"www.stmarytx.edu/","","","",""
84,186432,"Saint Peter's University","2641 Kennedy Blvd","NJ","07306-5997",2017616000,"www.saintpeters.edu","","","",""
85,227845,"Saint Edward's University","3001 S Congress Ave","TX","78704-6489",5124488400,"https://www.stedwards.edu","","","",""
86,177418,"Fontbonne University","6800 Wydown Blvd","MO","63105-3098",3148623456,"https://www.fontbonne.edu","","","",""
87,214272,"Neumann University","One Neumann Drive","PA","19014-1298",6104590905,"www.neumann.edu","","","",""
88,215655,"Robert Morris University","6001 University Boulevard","PA","15108-1189",8007620097,"www.rmu.edu","","","",""
89,192703,"Manhattan College","4513 Manhattan College Parkway","NY","10471-4098",7188628000,"www.manhattan.edu","","","",""
90,162760,"Hood College","401 Rosemont Ave","MD","21701",3016633131,"www.hood.edu","","","",""
91,195243,"St. Thomas Aquinas College","125 Rte 340","NY","10976-1050",8453984000,"www.stac.edu","","","",""
92,174437,"North Central University","910 Elliot Ave","MN","55404-1391",6123434400,"www.northcentral.edu","","","",""
93,129525,"University of Hartford","200 Bloomfield Ave","CT","06117-1599",8607684100,"www.hartford.edu","","","",""
94,209612,"Pacific University","2043 College Way","OR","97116",8777228648,"www.pacificu.edu","","","",""
95,201195,"Baldwin Wallace University","275 Eastland Rd","OH","44017-2088",4408262900,"https://www.bw.edu","","","",""
96,194091,"New York Institute of Technology","Northern Blvd","NY","11568-8000",5166867516,"www.nyit.edu","","","",""
97,123554,"Saint Mary's College of California","1928 Saint Marys Road","CA","94575",9256314000,"www.stmarys-ca.edu","","","",""
98,129941,"University of New Haven","300 Boston Post Road","CT","06516-1916",2039327000,"www.newhaven.edu","","","",""
99,487603,"Northwest University-College of Adult and Professional Studies","5520 108th Ave NE","WA","98033",4258228266,"www.northwestu.edu","","","",""
100,189705,"Canisius College","2001 Main St","NY","14208-1098",7168882200,"https://www.canisius.edu","","","",""
101,215114,"Cairn University-Langhorne","200 Manor Ave","PA","19047-2990",2157525800,"www.cairn.edu","","","",""
102,120184,"Notre Dame de Namur University","1500 Ralston Ave","CA","94002-1908",6505083500,"www.ndnu.edu","","","",""
103,214069,"Misericordia University","301 Lake St","PA","18612-1098",5706746400,"www.misericordia.edu","","","",""
104,156286,"Bellarmine University","2001 Newburg Rd","KY","40205-0671",5022728263,"www.bellarmine.edu","","","",""
105,121309,"Point Loma Nazarene University","3900 Lomaland Dr","CA","92106-2899",6198492200,"www.pointloma.edu","","","",""
106,118541,"Marymount California University","30800 Palos Verdes Drive East","CA","90275-6299",3103775501,"www.marymountcalifornia.edu/","","","",""
107,153825,"Loras College","1450 Alta Vista","IA","52004-0178",5635887100,"www.loras.edu","","","",""
108,240338,"Wisconsin Lutheran College","8800 W Bluemound Rd","WI","53226-4699",4144438800,"wlc.edu","","","",""
109,439288,"Johnson & Wales University-Denver","7150 Montview Blvd","CO","80220",3032569300,"www.jwu.edu/campuses/denver/index.html","","","",""
110,132657,"Lynn University","3601 N. Military Trail","FL","33431-5598",8009945966,"www.lynn.edu","","","",""
111,193292,"Molloy College","1000 Hempstead Ave","NY","11571-5002",5163233000,"www.molloy.edu","","","",""
112,217235,"Johnson & Wales University-Providence","8 Abbott Park Place","RI","02903-3703",4015981000,"www.jwu.edu/campuses/providence/index.html","","","",""
113,168227,"Wentworth Institute of Technology","550 Huntington Ave","MA","02115",6179894590,"https://WIT.EDU","","","",""
114,164270,"McDaniel College","2 College Hill","MD","21157",4108487000,"www.mcdaniel.edu","","","",""
115,119173,"Mount Saint Mary's University","12001 Chalon Rd","CA","90049-1599",3109544000,"https://www.msmu.edu","","","",""
116,482705,"Northeastern University Professional Advancement Network","360 Huntington Ave","MA","02115",6173732000,"www.northeastern.edu/globalnetwork","","","",""
117,225627,"University of the Incarnate Word","4301 Broadway","TX","78209",2108296000,"www.uiw.edu","","","",""
118,193016,"Mercy College","555 Broadway","NY","10522",8006372969,"https://www.mercy.edu","","","",""
119,227331,"Our Lady of the Lake University","411 SW 24th St.","TX","78207-4689",2104346711,"www.ollusa.edu","","","",""
120,194161,"Nyack College","1 South Blvd","NY","10960-3698",8456754400,"www.nyack.edu/consumerinfo","","","",""
121,169479,"Davenport University","6191 Kraft Avenue S.E.","MI","49512-9396",6166987111,"www.davenport.edu","","","",""
122,174491,"University of Northwestern-St Paul","3003 Snelling Ave N","MN","55113-1598",6516315100,"https://www.unwsp.edu","","","",""
123,204936,"Otterbein University","1 South Grove Street","OH","43081",6148903000,"www.otterbein.edu","","","",""
124,173160,"Bethel University","3900 Bethel Dr","MN","55112",6516386400,"https://www.bethel.edu","","","",""
125,195474,"Siena College","515 Loudon Rd","NY","12211-1462",5187832300,"https://www.siena.edu","","","",""
126,203368,"John Carroll University","1 John Carroll Boulevard","OH","44118-4581",2163971886,"sites.jcu.edu/","","","",""
127,126669,"Colorado Christian University","8787 West Alameda Avenue","CO","80226",3039633000,"WWW.CCU.EDU","","","",""
128,194310,"Pace University-New York","1 Pace Plaza","NY","10038-1598",2123461200,"www.pace.edu","","","",""
129,205957,"Franciscan University of Steubenville","1235 University Blvd","OH","43952-1763",7402833771,"www.franciscan.edu","","","",""
130,150604,"Franklin College","101 Branigin Blvd","IN","46131-2623",3177388000,"www.franklincollege.edu","","","",""
131,166850,"Merrimack College","315 Turnpike St","MA","01845",9788375000,"www.merrimack.edu","","","",""
132,144281,"Columbia College Chicago","600 South Michigan","IL","60605-1996",3126631600,"www.colum.edu","","","",""
133,231651,"Regent University","1000 Regent University Dr","VA","23464",7573524127,"www.regent.edu","","","",""
134,414823,"Johnson & Wales University-North Miami","1701 NE 127th St","FL","33181",3058927000,"www.jwu.edu/campuses/north-miami/index.html","","","",""
135,210401,"Willamette University","900 State St","OR","97301",5033706300,"www.willamette.edu","","","",""
136,132471,"Barry University","11300 NE 2nd Ave","FL","33161-6695",8007566000,"www.barry.edu","","","",""
137,234915,"City University of Seattle","521 Wall Street, Suite 100","WA","98121",8004265596,"www.cityu.edu","","","",""
138,152600,"Valparaiso University","US Highway 30 and Sturdy Road","IN","46383",2194645000,"www.valpo.edu","","","",""
139,129154,"Goodwin College","One Riverside Drive","CT","06118",8605284111,"www.goodwin.edu","","","",""
140,192448,"LIU Post","720 Northern Blvd","NY","11548-1327",5162992900,"liu.edu/CWPost","","","",""
141,164562,"Assumption College","500 Salisbury St","MA","01609-1296",5087677000,"https://www.assumption.edu","","","",""
142,230852,"Champlain College","163 S Willard St","VT","05401",8028602700,"www.champlain.edu","","","",""
143,217518,"Roger Williams University","One Old Ferry Road","RI","02809-2921",4012531040,"https://www.rwu.edu","","","",""
144,161457,"University of New England","11 Hills Beach Rd","ME","04005-9599",2072830171,"https://www.une.edu/","","","",""
145,165936,"Gordon College","255 Grapevine Rd","MA","01984",9789272300,"www.gordon.edu","","","",""
146,167260,"Nichols College","Center Rd","MA","01571-5000",8004703379,"www.nichols.edu","","","",""
147,198695,"High Point University","One University Parkway","NC","27268",3368419000,"www.highpoint.edu","","","",""
148,152390,"Saint Mary's College","133 Le Mans Hall","IN","46556",5742844000,"www.saintmarys.edu","","","",""
149,190983,"Elmira College","One Park Place","NY","14901",6077351800,"https://www.elmira.edu","","","",""
150,190716,"D'Youville College","320 Porter Ave","NY","14201-1084",7168298000,"www.dyc.edu","","","",""
151,239716,"Saint Norbert College","100 Grant St","WI","54115-2099",9203373181,"www.snc.edu","","","",""
152,147536,"National Louis University","122 S Michigan Ave","IL","60603",8004435522,"www.nl.edu","","","",""
153,237066,"Whitworth University","300 W Hawthorne Rd","WA","99251",5097771000,"www.whitworth.edu","","","",""
154,231059,"Saint Michael's College","One Winooski Park","VT","05439",8026542000,"www.smcvt.edu","","","",""
155,169080,"Calvin College","3201 Burton Street SE","MI","49546",6165266000,"www.calvin.edu","","","",""
156,131113,"Wilmington University","320 Dupont Hwy","DE","19720",8779675464,"www.wilmu.edu","","","",""
157,213996,"Messiah College","One College Ave","PA","17055",7177662511,"www.messiah.edu","","","",""
158,215770,"Saint Joseph's University","5600 City Avenue","PA","19131-1395",6106601000,"www.sju.edu","","","",""
159,240392,"Herzing University-Madison","5218 E. Terrace Dr.","WI","53718",8005821227,"www.Herzing.edu","","","",""
160,438151,"Stevens-Henager College","383 W Vine St","UT","84123-5671",8012817620,"www.stevenshenager.edu","","","",""
161,245953,"Mid-America Christian University","3500 SW 119th St","OK","73170-9797",4056913800,"www.macu.edu","","","",""
162,165167,"Cambridge College","500 Rutherford Avenue","MA","02129",6178681000,"www.cambridgecollege.edu","","","",""
163,132602,"Bethune-Cookman University","640 Dr Mary McLeod Bethune Blvd","FL","32114-3099",3864812000,"www.cookman.edu","","","",""
164,206279,"Union Institute & University","440 E McMillan St","OH","45206-1925",8008616400,"www.myunion.edu","","","",""
165,102049,"Samford University","800 Lakeshore Drive","AL","35229-2240",2057262011,"www.samford.edu","","","",""
166,228042,"Schreiner University","2100 Memorial Blvd","TX","78028-5697",8003434919,"www.schreiner.edu","","","",""
167,236328,"University of Puget Sound","1500 N. Warner Street","WA","98416",2538793100,"www.pugetsound.edu","","","",""
168,157216,"Lindsey Wilson College","210 Lindsey Wilson St","KY","42728-1223",2703842126,"www.lindsey.edu","","","",""
169,198136,"Campbell University","143 Main Street","NC","27506",91089312001265,"www.campbell.edu","","","",""
170,154688,"Baker University","618 Eighth Street","KS","66006-0065",7855946451,"https://www.bakeru.edu","","","",""
171,390701,"Everest University-South Orlando","9200 Soutpark Center Loop","FL","33610-7666",8136351973174,"https://www.everest.edu/campus/south_orlando","","","",""
172,204194,"Mount Vernon Nazarene University","800 Martinsburg Rd","OH","43050-9500",7403926868,"www.mvnu.edu","","","",""
173,165699,"Endicott College","376 Hale Street","MA","01915",9789270585,"www.endicott.edu","","","",""
174,174914,"University of St Thomas","2115 Summit Ave","MN","55105-1078",6519625000,"www.stthomas.edu","","","",""
175,221953,"Tusculum College","60 Shiloh Road","TN","37743",4236367300,"www.tusculum.edu","","","",""
176,214883,"Peirce College","1420 Pine Street","PA","19102-4699",8884673472,"https://www.peirce.edu","","","",""
177,155900,"Southwestern College","100 College Street","KS","67156-6224",6202296000,"www.sckans.edu","","","",""
178,131876,"Trinity Washington University","125 Michigan Ave NE","DC","20017-1094",2028849050,"www.trinitydc.edu","","","",""
179,219709,"Belmont University","1900 Belmont Blvd","TN","37212-3757",6154606000,"www.belmont.edu","","","",""
180,208822,"George Fox University","414 N Meridian St","OR","97132",5035388383,"www.georgefox.edu","","","",""
181,150677,"Grace College and Theological Seminary","200 Seminary Dr","IN","46590-1274",5743725100,"www.grace.edu","","","",""
182,241836,"EDP University of Puerto Rico Inc-San Sebastian","Betances # 49","PR","00685",7878962137,"www.edpuniversity.edu/","","","",""
183,204185,"University of Mount Union","1972 Clark Ave.","OH","44601-3993",8009926682,"www.mountunion.edu","","","",""
184,119605,"National University","11255 North Torrey Pines Road","CA","92037-1011",8006288648,"www.nu.edu","","","",""
185,231554,"Bluefield College","3000 College Avenue","VA","24605",2763263682,"www.bluefield.edu","","","",""
186,239105,"Marquette University","1250 W Wisconsin Avenue","WI","53233",4142887710,"www.marquette.edu","","","",""
187,243586,"Pontifical Catholic University of Puerto Rico-Mayaguez","482 Sur Calle Ramon Emerito Betances","PR","00680-1713",78783451515027,"www.pucpr.edu//mayaguez/","","","",""
188,107080,"Hendrix College","1600 Washington Ave","AR","72032-3080",5013296811,"www.hendrix.edu","","","",""
189,150941,"Huntington University","2303 College Ave","IN","46750",2603566000,"www.huntington.edu","","","",""
190,141237,"Truett McConnell University","100 Alumni Dr","GA","30528",7068652134,"https://truett.edu","","","",""
191,220701,"Martin Methodist College","433 West Madison Street","TN","38478-2799",9313639800,"www.martinmethodist.edu","","","",""
192,216694,"Waynesburg University","51 W College St","PA","15370-1257",7246278191,"www.waynesburg.edu","","","",""
193,203085,"Heidelberg University","310 E Market St","OH","44883-2462",4194482000,"https://www.heidelberg.edu","","","",""
194,157535,"University of Pikeville","147 Sycamore St","KY","41501",6062185250,"www.upike.edu","","","",""
195,154350,"Simpson College","701 North C St","IA","50125",5159616251,"www.simpson.edu","","","",""
196,177065,"Columbia College","1001 Rogers Street","MO","65216",8002312391,"www.ccis.edu","","","",""
197,215743,"Saint Francis University","117 Evergreen Dr","PA","15940",8144723000,"www.francis.edu","","","",""
198,229780,"Wayland Baptist University","1900 W 7th St.","TX","79072",8062911000,"www.wbu.edu","","","",""
199,140340,"Herzing University-Atlanta","3393 Peachtree Road, Suite 1003","GA","30326",4048164533116,"www.herzing.edu","","","",""
200,202763,"The University of Findlay","1000 North Main Street","OH","45840-3653",4194228313,"www.findlay.edu/","","","",""
201,220215,"Freed-Hardeman University","158 E Main St","TN","38340-2399",8003483481,"www.fhu.edu","","","",""
202,168847,"Baker College","1050 West Bristol Road","MI","48507-5508",8107664000,"www.baker.edu","","","",""
203,180814,"Bellevue University","1000 Galvin Rd S","NE","68005-3098",4022918100,"www.bellevue.edu","","","",""
204,154712,"Benedictine College","1020 N 2nd St","KS","66002-1499",9133675340,"www.benedictine.edu","","","",""
205,219091,"Dakota Wesleyan University","1200 W University Ave","SD","57301-4398",6059952600,"www.dwu.edu","","","",""
206,137801,"Altierus Career College-Tampa","3319 W Hillsborough Ave","FL","33614-5801",8138796000,"https://www.altierus.org/campus/tampa","","","",""
207,243832,"EDP University of Puerto Rico Inc-San Juan","560 Ponce de Leon Ave.  Cr. Arroyo St.","PR","00919-2303",78776535601240,"www.edpuniversity.edu","","","",""
208,107141,"John Brown University","2000 W University St","AR","72761",4795249500,"www.jbu.edu","","","",""
209,488846,"University of the People","225 S. Lake Ave., Suite 300","CA","91101",6262648880,"uopeople.edu","","","",""
210,475273,"Springfield College-School of Professional and Continuing Studies","Springfield College - School of Professional and Continuing Studies","MA","01109",4137483204,"www.springfield.edu/school-of-professional-and-continuing-studies","","","",""
211,241216,"Atlantic University College","Colton St. # 9","PR","00970",78772010221000,"www.atlanticu.edu","","","",""
212,219718,"Bethel University","325 Cherry Ave","TN","38201",7313524000,"www.bethelu.edu/","","","",""
213,152530,"Taylor University","236 W Reade Ave","IN","46989-1001",7659982751,"https://www.taylor.edu","","","",""
214,241225,"Universidad Central de Bayamon","Avenida Zaya Verde La Milagrosa Barrio Hato Tejas","PR","00960-1725",78778630302100,"www.ucb.edu.pr","","","",""
215,241128,"American University of Puerto Rico","Carretera Estatal #2 Km.48.1","PR","00674-1082",78762128353010,"aupr.edu","","","",""
216,241377,"Caribbean University-Bayamon","167 Ave.  Km 21.2","PR","00960-0493",787780007051001,"www.caribbean.edu","","","",""
217,131283,"Catholic University of America","620 Michigan Avenue, NE","DC","20064",2023195000,"https://www.catholic.edu","","","",""
218,474863,"Azusa Pacific University College","300 N Lone Hill Ave, Ste 200","CA","91773-1741",6266244673,"www.apu.edu/university-college/","","","",""
219,241739,"Universidad Metropolitana","1399 Ave. Ana G. Méndez","PR","00926-2602",78776617176400,"umet.suagm.edu/","","","",""
220,212054,"Drexel University","3141 Chestnut St","PA","19104",2158952000,"www.drexel.edu","","","",""
221,241191,"Universidad Adventista de las Antillas","Carr 106 Km 2.2 Int","PR","00680-0000",78783495950,"www.uaa.edu/","","","",""
222,465812,"Independence University","4021 S 700 E Ste 400","UT","84107",8009725149,"www.independence.edu","","","",""
223,242680,"Inter American University of Puerto Rico-Fajardo","Calle Union-Batey Central Highway 195","PR","00738-7003",7878632390,"www.fajardo.inter.edu/","","","",""
224,163046,"Loyola University Maryland","4501 N Charles St","MD","21210-2699",4106172000,"www.loyola.edu","","","",""
225,135081,"Keiser University-Ft Lauderdale","1500 NW 49th St.","FL","33309",9547764476,"www.keiseruniversity.edu","","","",""
226,201964,"Ohio Christian University","1476 Lancaster Pike","OH","43113-9487",7404748896,"www.ohiochristian.edu","","","",""
227,161518,"Saint Joseph's College of Maine","278 Whites Bridge Rd","ME","04084-5236",2078926766,"www.sjcme.edu","","","",""
228,140872,"Reinhardt University","7300 Reinhardt Circle","GA","30183-2981",7707205600,"www.reinhardt.edu","","","",""
229,174747,"College of Saint Benedict","37 S. College Ave.","MN","56374",3203635011,"www.csbsju.edu","","","",""
230,182795,"Franklin Pierce University","40 University Drive","NH","03461-0060",6038994000,"www.franklinpierce.edu","","","",""
231,149781,"Wheaton College","501 College Ave","IL","60187-5593",6307525000,"www.wheaton.edu","","","",""
232,205203,"University of Rio Grande","218 N College Ave","OH","45674",7402457206,"www.rio.edu","","","",""
233,178891,"Ranken Technical College","4431 Finney Ave","MO","63113-2811",3143710236,"www.ranken.edu","","","",""
234,229887,"Wiley College","711 Wiley Ave","TX","75670",9039273300,"wileyc.edu","","","",""
235,443562,"Dewey University-Hato Rey","Barbosa Ave #427 3rd Floor - Malco Bldg","PR","00910",78775300390,"dewey.edu","","","",""
236,243346,"Universidad del Este","Carr. # 190 Esq. Calle 220 Bo. Sabana Abajo","PR","00985-0985",7872577373,"ac.suagm.edu/universidades/universidad-este","","","",""
237,182980,"New England College","98 Bridge St","NH","03242",6034282211,"www.nec.edu/","","","",""
238,212869,"Harcum College","750 Montgomery Ave","PA","19010-3470",6105254100,"www.harcum.edu","","","",""
239,200217,"University of Mary","7500 University Dr","ND","58504",7012557500,"www.umary.edu/","","","",""
240,161563,"Thomas College","180 W River Rd","ME","04901-5097",2078591111,"www.thomas.edu","","","",""
241,241410,"Pontifical Catholic University of Puerto Rico-Ponce","2250 Boulevard Luis A. Ferre Aguayo Suite 608","PR","00717-9997",78784120001002,"www.pucpr.edu","","","",""
242,190114,"Metropolitan College of New York","60 West Street","NY","10006-1742",8003384465,"https://www.mcny.edu","","","",""
243,243601,"Universidad del Turabo","Carr. # 189 Km 3.3","PR","00778-3030",78774379794000,"ut.suagm.edu","","","",""
244,174792,"Saint Johns University","2850 Abbey Plaza","MN","56321",3203632011,"www.csbsju.edu","","","",""
245,182634,"Colby-Sawyer College","541 Main St","NH","03257-7835",6035263000,"www.colby-sawyer.edu","","","",""
246,164492,"Anna Maria College","50 Sunset Lane","MA","01612-1198",5088493300,"www.annamaria.edu","","","",""
247,429128,"Urban College of Boston","2 Boylston Street, 2nd Floor","MA","02116",6174497070,"www.urbancollege.edu","","","",""
248,485263,"California College San Diego","6602 Convoy Court Ste 100","CA","92111",61968044301501,"www.cc-sd.edu","","","",""
249,216524,"Ursinus College","601 E. Main St","PA","19426-1000",6104093000,"www.ursinus.edu","","","",""
250,191676,"Houghton College","1 Willard Ave","NY","14744",5855679200,"www.houghton.edu","","","",""
