"Rank","UNITID","INSTNM","ADDR","State","ZIP","GENTELE","WEBADDR","CONTACTED? (Y/N)","DATE OF CONTACT","RESPONSE? (Y/N/NO-RESPONSE)","IF NO, REASON? (OPEN RESPONSE)"
1,213367,"La Salle University","1900 W Olney Ave","PA","19141-1199",2159511000,"www.lasalle.edu","","","",""
2,198613,"Guilford College","5800 W Friendly Avenue","NC","27410-4108",3363162000,"www.guilford.edu","","","",""
3,207582,"Oral Roberts University","7777 S Lewis Ave.","OK","74171",9184956161,"oru.edu","","","",""
4,224004,"Concordia University Texas","11400 Concordia University Drive","TX","78726",5123133000,"www.concordia.edu","","","",""
5,232706,"Marymount University","2807 N Glebe Rd","VA","22207-4299",7035225600,"https://www.marymount.edu","","","",""
6,204617,"Ohio Dominican University","1216 Sunbury Road","OH","43219",6142532741,"www.ohiodominican.edu","","","",""
7,153375,"Grand View University","1200 Grandview Ave","IA","50316",5152632800,"www.grandview.edu","","","",""
8,226383,"Lubbock Christian University","5601 19th Street","TX","79407-2099",8067968800,"https://www.lcu.edu","","","",""
9,233541,"Shenandoah University","1460 University Dr","VA","22601-5195",5406654500,"www.su.edu","","","",""
10,195234,"The College of Saint Rose","432 Western Ave","NY","12203-1490",5184545111,"www.strose.edu","","","",""
11,225247,"Hardin-Simmons University","2200 Hickory","TX","79698-0001",3256701000,"www.hsutx.edu","","","",""
12,193353,"Mount Saint Mary College","330 Powell Avenue","NY","12550",8455610800,"www.msmc.edu","","","",""
13,152336,"University of Saint Francis-Fort Wayne","2701 Spring St","IN","46808-3994",2603997700,"www.sf.edu","","","",""
14,150145,"Bethel College-Indiana","1001 Bethel Circle","IN","46545-5591",5748077000,"www.bethelcollege.edu","","","",""
15,136330,"Palm Beach Atlantic University","901 S. Flagler Drive","FL","33401",5618032000,"www.pba.edu","","","",""
16,226471,"University of Mary Hardin-Baylor","900 College St","TX","76513-2599",8007278642,"www.umhb.edu","","","",""
17,143118,"Aurora University","347 S Gladstone Ave","IL","60506-4892",6308926431,"aurora.edu","","","",""
18,199412,"Queens University of Charlotte","1900 Selwyn Ave","NC","28274-0001",7043372200,"www.queens.edu","","","",""
19,151263,"University of Indianapolis","1400 E Hanna Ave","IN","46227-3697",3177883368,"uindy.edu","","","",""
20,211583,"Chestnut Hill College","9601 Germantown Ave","PA","19118-2693",2152487000,"www.chc.edu","","","",""
21,213826,"Marywood University","2300 Adams Ave","PA","18509-1598",5703486211,"www.marywood.edu/","","","",""
22,134945,"Jacksonville University","2800 University Blvd N","FL","32211-3394",9042568000,"www.ju.edu/index.php","","","",""
23,211431,"Carlow University","3333 Fifth Ave","PA","15213-3165",4125786000,"www.carlow.edu","","","",""
24,197045,"Utica College","1600 Burrstone Rd","NY","13502-4892",3157923111,"www.utica.edu/","","","",""
25,152992,"Briar Cliff University","3303 Rebecca Street","IA","51104",7122795321,"www.briarcliff.edu","","","",""
26,213358,"La Roche College","9000 Babcock Blvd","PA","15237-5898",4123679300,"www.laroche.edu","","","",""
27,183974,"Centenary University","400 Jefferson St","NJ","07840",9088521400,"www.centenaryuniversity.edu","","","",""
28,217305,"New England Institute of Technology","One New England Tech Boulevard","RI","02818-1205",4017395000,"www.neit.edu","","","",""
29,236452,"Saint Martin's University","5000 Abbey Way SE","WA","98503-7500",3604914700,"https://www.stmartin.edu","","","",""
30,216931,"Wilkes University","84 West South Street","PA","18766",5704085000,"www.wilkes.edu","","","",""
31,238430,"Cardinal Stritch University","6801 N Yates Rd","WI","53217-3985",4144104000,"www.stritch.edu","","","",""
32,166391,"Lasell College","1844 Commonwealth Avenue","MA","02466",6172432000,"www.lasell.edu/","","","",""
33,214157,"Moravian College","1200 Main St","PA","18018-6650",6108611360,"www.moravian.edu","","","",""
34,113698,"Dominican University of California","50 Acacia Ave","CA","94901-2298",4154574440,"www.dominican.edu","","","",""
35,206862,"Southern Nazarene University","6729 NW 39th Expy","OK","73008",4057896400,"SNU.EDU","","","",""
36,232672,"Mary Baldwin University","318 Prospect Street","VA","24401",5408877019,"www.marybaldwin.edu","","","",""
37,487524,"Husson University","1 College Circle","ME","04401-2929",2079417000,"www.husson.edu","","","",""
38,162654,"Goucher College","1021 Dulaney Valley Rd","MD","21204-2794",4103376000,"www.goucher.edu","","","",""
39,130314,"University of Saint Joseph","1678 Asylum Avenue","CT","06117",8602324571,"www.usj.edu","","","",""
40,221661,"Southern Adventist University","4881 Taylor Cir","TN","37315-0370",4232362000,"www.southern.edu","","","",""
41,141486,"Chaminade University of Honolulu","3140 Waialae Avenue","HI","96816-1578",8087354711,"www.chaminade.edu","","","",""
42,165529,"Curry College","1071 Blue Hill Ave","MA","02186-2395",6173330500,"https://www.curry.edu","","","",""
